"Berzsenyi-Daniel_level-4" "Berzsenyi-Daniel_level-5" "Dobrentei-Gabor_level-4" "Dobrentei-Gabor_level-5" "Kazinczy-Ferenc_level-4" "Kazinczy-Ferenc_level-5" "Marton-Jozsef_level-4" "Marton-Jozsef_level-5" "Raday-I-Gedeon_level-4" "Raday-I-Gedeon_level-5" "Raday-II-Gedeon_level-4" "Raday-II-Gedeon_level-5" "Szentmiklossy-Alajos_level-4" "Szentmiklossy-Alajos_level-5" "Szentpeteri-Erzsebet_level-4" "Szentpeteri-Erzsebet_level-5" "Szentpeteri-Judit_level-4" "Szentpeteri-Judit_level-5" "Szentpeteri-Katalin_level-4" "Szentpeteri-Katalin_level-5"
"mint" 0 0 0.435594275046671 0.510725229826353 0.50251256281407 0.19782393669634 0.704225352112676 0 0 0.48661800486618 0.366300366300366 0.980392156862745 0 0.17825311942959 0 0.33167495854063 0.33003300330033 0.199600798403194 0 1.41843971631206
"r" 0 0 0.871188550093342 0.715015321756895 0 0.395647873392681 0.704225352112676 0 0 0.97323600973236 1.0989010989011 0 0.684931506849315 0.17825311942959 0 0 0 0.199600798403194 0 0
"nenem" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.829187396351575 3.3003300330033 3.79241516966068 0 0
"egy" 0 0 0.373366521468575 0.306435137895812 0.50251256281407 0.494559841740851 0.352112676056338 1 0 0.72992700729927 1.46520146520147 0.980392156862745 0 0 0 0.33167495854063 0.33003300330033 0.798403193612774 0 0
"ki" 0 0 0.933416303671437 0 0 0.0989119683481701 1.40845070422535 1 0 0 1.46520146520147 0 0 0 0 0.165837479270315 0 0.199600798403194 0 0
"s„" 0 0.87719298245614 0.871188550093342 0.510725229826353 0 0.692383778437191 0 0 0 0 0 0 0 1.24777183600713 0 0 0 0 0 0
"tsak" 0 0.87719298245614 0 0 0 0.19782393669634 0.704225352112676 1 0 0.72992700729927 0 2.94117647058824 0 0 0 0.66334991708126 0.33003300330033 0.798403193612774 0 0.709219858156028
"azt" 0 0 0.560049782202863 0.715015321756895 1.00502512562814 0.395647873392681 0.704225352112676 1 0 0.24330900243309 0 0 0.684931506849315 0.53475935828877 0 0.165837479270315 0 0.199600798403194 0 0
"j„" 0.819672131147541 0 0.435594275046671 0.408580183861083 1.00502512562814 0.19782393669634 0.352112676056338 2 0 0.48661800486618 1.0989010989011 1.96078431372549 0 0.35650623885918 0 0.165837479270315 0 0 0 0
"uram" 3.27868852459016 3.07017543859649 0 0 0.50251256281407 0 0 0 1.49253731343284 0 0.366300366300366 0.980392156862745 0 0 0.442477876106195 0.497512437810945 0.33003300330033 0.598802395209581 0 0.709219858156028
"h„" 0.819672131147541 0.87719298245614 0.435594275046671 0.306435137895812 0 0.593471810089021 0.704225352112676 0 1.49253731343284 0.97323600973236 0 0 0 0.53475935828877 0 0 0.33003300330033 0 0 0
"bb" 0 0 0.124455507156192 0.510725229826353 1.00502512562814 0.0989119683481701 0.704225352112676 0 0 0.72992700729927 0 0 0 0.17825311942959 0 0 0 0 0 0
"ez" 0 0 0.0622277535780958 0.102145045965271 0 0.692383778437191 0 0 0 0.24330900243309 0.366300366300366 0 0 0 0.442477876106195 0.497512437810945 0.33003300330033 0 0 0
"nagy" 0 0 0 0.306435137895812 0 0 0 0 1.49253731343284 0.24330900243309 0 0 0 0 0.442477876106195 0.165837479270315 0.99009900990099 0.399201596806387 0 0.354609929078014
"sem" 0.819672131147541 0.43859649122807 0.124455507156192 0.102145045965271 0 0 0.352112676056338 0 0 0.24330900243309 0.732600732600733 0.980392156862745 0 0.17825311942959 0 0.165837479270315 1.32013201320132 0.798403193612774 0 0.354609929078014
"rt" 0.819672131147541 0 0.186683260734287 0.204290091930541 0 0.791295746785361 1.05633802816901 1 0 0.24330900243309 1.0989010989011 0.980392156862745 0 0.35650623885918 0 0 0.33003300330033 0 0 0
"vagy" 0 0.43859649122807 0.186683260734287 0.204290091930541 0 0 0 0 0 0.24330900243309 0.732600732600733 1.96078431372549 0 0.17825311942959 0 0.497512437810945 0 0.199600798403194 0 0.709219858156028
"Â" 0 0 0.311138767890479 0.204290091930541 0 0.890207715133531 0.352112676056338 0 0 0.48661800486618 0 0 0.684931506849315 0 0 0 1.32013201320132 1.19760479041916 1.28205128205128 2.4822695035461
"pedig" 0 0.43859649122807 0.435594275046671 0 0 0.19782393669634 0.704225352112676 0 0 0.72992700729927 1.0989010989011 1.96078431372549 0 0 0.442477876106195 0.829187396351575 0.33003300330033 0.399201596806387 0 1.06382978723404
"asszony" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.64026402640264 1.99600798403194 0 0
"ugy" 0.819672131147541 0 0.311138767890479 0 0 0 0 0 1.49253731343284 0 0.366300366300366 0 0 0 0.442477876106195 0.66334991708126 0.33003300330033 0.598802395209581 1.28205128205128 0.354609929078014
"en" 0 0 0 0 0 0 0 0 0 0.24330900243309 0 0 0 0 3.09734513274336 0.66334991708126 3.63036303630363 2.59481037924152 1.28205128205128 1.06382978723404
"kÂ" 0 0 0.124455507156192 0 0 0.0989119683481701 0 0 1.49253731343284 1.70316301703163 0.366300366300366 0 0 0 0 0 1.32013201320132 0.199600798403194 0 2.12765957446809
